click_count,avg_click_interval,click_interval_variance,click_interval_entropy,mouse_velocity_variance,max_element_click_rate,scroll_events,keystroke_count
8,1524.9435637982203,269875.23591802106,2.304229902307089,0.3561481826419697,1.2012582857050627,11.0,5.0
4,1540.7843537831466,254741.91713018893,2.6071922011156383,0.7868813355493297,1.4498041142117812,11.0,3.0
15,477.7744392868654,114469.09333942794,2.897984324379762,0.3213474093759946,1.3237007234476748,2.0,56.0
19,428.3107596834181,117565.23311135078,2.9814845021638288,1.028970614909017,2.4720091560751425,3.0,58.0
10,707.6848740789075,75545.47124074855,1.5912809729488926,0.1383094308072279,0.3292175282190074,5.0,12.0
10,814.1065557817927,107635.77251881984,2.166642752475942,0.001824186894333897,1.077244546263089,4.0,22.0
23,379.132115453916,80945.92995766952,2.694870000007862,0.3903425253389797,2.591251574833347,5.0,48.0
17,398.27831804121564,92294.3909959647,2.0935081883723106,0.9868531980160324,1.1815346840234413,4.0,49.0
19,464.6590634954177,104370.40902566239,2.9852529448260796,1.0872259890155214,1.7729535772750808,4.0,46.0
1,773.4974864946563,38066.12564534377,2.673039876840275,0.021855463151682693,1.6678261738500149,2.0,16.0
10,941.6850983503273,278504.944829495,2.875329645693906,0.3370446072550423,1.3581702753230251,9.0,10.0
5,476.81922471948417,164464.30637941952,3.3352216036636873,0.06330033223653457,1.755533322473447,3.0,12.0
11,878.3937585114745,87753.53826309391,2.9369556731243893,0.07274730107541372,1.8013612739899214,2.0,17.0
6,1184.5373374177045,267686.96517413715,3.6304690110965514,0.1938907150168449,0.681783344972643,14.0,10.0
11,331.29034129586694,165976.72305088083,3.1762297191630466,0.9629887386304872,1.1247882081613625,3.0,54.0
24,210.57354656874924,124741.83566366944,2.4695882733770125,1.0849831427872951,3.9864417937652767,5.0,43.0
20,735.2220058357635,85928.01931845504,2.4636721631765965,0.4743470089688468,2.2800883561406513,4.0,39.0
6,1023.6431085275999,135916.60796367953,2.84632733371721,0.4349451639249716,0.20244513827520294,9.0,7.0
3,759.6884186912537,299198.1002037366,2.320015539682439,0.062217974741548165,1.6193136773896903,4.0,15.0
7,550.5378797745132,214317.57013357343,2.281069971389303,0.05453491260113488,1.4755256230556852,1.0,15.0
11,1328.9748544738886,153491.66124989293,2.5812956375234353,0.0464896885145105,1.9282291450911195,5.0,12.0
6,1010.6381575251212,115670.43346683412,2.8566248429907164,0.0855770758999315,0.2580798140886703,2.0,12.0
10,1518.043145601381,246232.19666460852,2.93229022466695,0.8233159655173924,0.7629422279850696,7.0,14.0
7,1758.2461684424084,135687.86259772806,3.1847546522471184,0.030438642598004304,0.11526174237101611,2.0,12.0
7,1356.4348197178588,275850.8172176997,2.830466584717407,0.5638741500486689,0.7661155409924414,9.0,10.0
6,1365.8715685798445,293130.26410651713,2.900818317068844,0.4653539710720557,0.8348281052078153,7.0,8.0
5,1523.4758217774418,286556.8485067344,2.2392791348245997,0.10164244323849933,1.4084866984741402,4.0,10.0
14,604.0080055698528,109138.72333110418,2.070244749756937,0.8931025852622253,3.9378318038349267,4.0,55.0
4,1499.1796702976617,299332.4927957085,3.4668870933217493,0.3101590394203232,1.3973979834308827,11.0,9.0
5,1559.7898718764757,266370.00653304346,2.8761960456291082,0.38573412432802723,1.0274956224579896,10.0,8.0
5,796.4370987574192,145707.53767783262,3.1176328155172857,0.40929902697756027,0.9495640004792264,9.0,11.0
10,591.8949637184863,193818.6688444708,2.5519710116537317,0.05001232290127773,1.786160133175307,0.0,12.0
11,1363.9405069328025,204407.54867731815,1.4612877736871228,0.06144373279537735,1.622305414626917,3.0,15.0
21,707.6210186069695,88015.93700215354,2.1382304199040374,1.128184700764308,2.0327376984107195,4.0,38.0
3,1073.640355016126,338976.62766822055,1.9913580794151828,0.33157659517247395,0.335343569727252,11.0,7.0
11,1332.6950604493456,151184.50404586806,3.5642769281683577,0.3540457282493731,1.4570621754923245,10.0,2.0
1,748.0397909428802,195293.8784962708,3.0847516715315537,0.5798546248237612,0.150385760416135,10.0,11.0
19,192.42031616505437,134716.0391730906,1.6982569307582103,0.7982247235841882,1.6945331333344942,1.0,52.0
5,952.7716640790438,71147.17811505853,2.380446348694356,0.04726319973172728,1.1871355846819054,2.0,10.0
20,460.7761303135969,148848.76191447763,2.4654360522824574,0.6885279863914968,3.363592750593283,3.0,48.0
10,1103.8509746484847,123268.63178464981,2.166674254789175,0.04352542633379353,1.5411064601909057,5.0,9.0
19,338.19960859041623,162909.08120397443,2.413909089471266,1.072297542338541,2.9846281777496553,3.0,43.0
18,464.13789415680446,117097.51738974906,2.7358901688761197,0.9383041932010412,2.994688916717493,5.0,62.0
5,1356.2268361076133,193326.12361623222,2.944665887193449,0.8227572569782844,1.0432509047624021,9.0,4.0
1,1365.5892777995482,109989.51879041996,3.277482445014474,0.6183459419350803,1.4515441851288016,10.0,10.0
4,1206.327824355176,312006.8492774335,2.6088244657789446,0.7484845682933882,0.8107573544891181,7.0,9.0
